"";"";"";"";"klaunzer";""
"216";"recommander";"-0.276147799044861";"-0.775174672129403";"0.840189876460434";"525"
"217";"projet";"-0.190229906477062";"-0.452788600036987";"0.840167313326928";"526"
"218";"socialiste";"-0.0939944623120924";"-0.860080201734869";"0.840158852151863";"527"
"219";"gouvernement";"0.0829417569070766";"-0.70155933646409";"0.840135583920434";"528"
"220";"assemblée";"-0.412680454409613";"-0.971459336995661";"0.84000514080485";"529"
"221";"sûr";"-0.282483866285655";"-0.813615660485115";"0.839871172199656";"530"
"222";"écologique";"-0.4484083733387";"0.126234331562373";"0.839716050656799";"532"
"223";"mâle";"-0.305895578539903";"-0.640470745693079";"0.839716050656799";"534"
"224";"discipline";"-0.832141637460745";"2.71336307309003";"0.839690667131604";"536"
"225";"lune";"-0.307521863902168";"-0.659290547963254";"0.839194278194462";"537"
"226";"mettler";"-0.307521863902168";"-0.659290547963254";"0.839194278194462";"538"
"227";"extinction";"-0.307521863902168";"-0.659290547963254";"0.839194278194462";"539"
"228";"trouver";"-0.0240505832886021";"-0.183420145670217";"0.839160433494203";"540"
"229";"collection";"0.297495514587413";"0.139772251741943";"0.83913575506693";"541"
"230";"atelier";"-0.450615038963332";"0.0574444994481224";"0.83913575506693";"542"
"231";"emji_spectacle_vivant";"-0.568122002557001";"0.796416038780824";"0.83913575506693";"544"
"232";"chant";"-0.489684445010182";"0.502910944847384";"0.83913575506693";"546"
"233";"détecter";"-0.252585357149127";"-0.505660487203856";"0.83864359671732";"549"
"234";"tester";"-0.323563504350512";"-0.174496609466732";"0.838611162212905";"550"
"235";"tirage";"-0.943415293502663";"3.10520429086324";"0.838506102622516";"551"
"236";"harry";"-1.05006481641491";"3.55318466564011";"0.838506102622516";"552"
"237";"emji_applaudissements";"-1.03737282816915";"3.61446332718984";"0.838506102622516";"553"
"238";"consécutif";"-1.03737282816915";"3.61446332718984";"0.838506102622516";"554"
"239";"oeuvre";"0.0999026564414879";"0.203042474279466";"0.838372839115243";"559"
"240";"ministère";"-0.169585432271554";"-1.19020864022376";"0.838332648533685";"560"
"241";"tradition";"-0.455525491530351";"0.284869819973964";"0.838233934824594";"561"
"242";"emji_notes_de_musique";"-0.536145406892397";"0.869645752909793";"0.838233934824594";"562"
"243";"magasin";"-0.311799983786219";"-0.653700923450552";"0.838200090124334";"563"
"244";"nes";"-0.553310832361511";"-1.27001806034029";"0.838131695625893";"564"
"245";"mortalité";"-0.197141128744515";"-0.841138482395632";"0.838130285430049";"565"
"246";"chasse";"-0.293758694168829";"-0.750473758646624";"0.838130285430049";"566"
"247";"sensation";"-0.413540964562761";"0.439379594274654";"0.837809465875504";"567"
"248";"etat";"-0.0166167301812838";"-0.883945728668581";"0.837786197644076";"569"
"249";"spécialiste";"-0.332903235443995";"-0.576698987933864";"0.837780556860699";"570"
"250";"consommation";"-0.0903228879551459";"-0.489352552015019";"0.83769594511005";"571"
"251";"elon";"-0.551395794926409";"-1.1031669482459";"0.837678317661998";"572"
"252";"pourparlers";"-0.627633947412831";"-1.30673442462082";"0.837678317661998";"573"
"253";"moteur";"-0.322181566574048";"-0.290383748464749";"0.837640242374206";"574"
"254";"halle";"-0.33950341467939";"-0.498803211604987";"0.837640242374206";"575"
"255";"rencontre";"-0.501607736176191";"0.346161588080341";"0.837604987478102";"576"
"256";"lit";"-0.447107426653617";"-0.378292065816279";"0.837193915389531";"577"
"257";"trouble";"-0.291887288075597";"-0.792066821813957";"0.837190389899921";"579"
"258";"payer";"-0.339056189565245";"-0.726366589747837";"0.83710507305135";"580"
"259";"consommateur";"0.0308318024933909";"-0.369349969814818";"0.83710507305135";"581"
"260";"recul";"-0.311169495699766";"-0.597903062777958";"0.83710507305135";"582"
"261";"féminin";"-1.04507466728164";"3.92450160669576";"0.837057126392649";"583"
"262";"soutenir";"-0.284773725739567";"-0.849696388328017";"0.836904120143558";"584"
"263";"naissance";"-0.376049978651444";"-0.11740544577485";"0.836863224464078";"585"
