"";"banalfreq";"X.rts_a";"X.rts_i"
"perso";149;0,3374;-0,3374
"prévenir";29;-0,5495;0,5495
"intime";10;0,391;-0,391
"physiquement";28;0,8653;-0,8653
"pendant";432;-0,7859;0,7859
"seconde";80;1,2948;-1,2948
"albert";11;0,9219;-0,9219
"théorie";60;-1,3552;1,3552
"certain";155;-0,3541;0,3541
"paraître";114;0,4664;-0,4664
"possession";15;0,3576;-0,3576
"ironie";32;-1,3996;1,3996
"mâle";18;1,1228;-1,1228
"apparaître";46;-0,2605;0,2605
"meurtre";23;-1,4032;1,4032
"violent";114;-1,7379;1,7379
"psychologie";10;-0,2265;0,2265
"perturbateur";11;0,9219;-0,9219
"prédateur";28;1,8927;-1,8927
"sexuel";61;0,5426;-0,5426
"appareil";27;0,996;-0,996
"contacter";24;-1,1402;1,1402
"autrement";72;-0,6833;0,6833
"concept";80;-0,7028;0,7028
"indicateur";11;-0,5839;0,5839
"enterrer";21;1,7473;-1,7473
"emji_biceps_contracté";57;0,3862;-0,3862
"description";22;-1,266;1,266
"suite";186;1,5972;-1,5972
"redonner";23;-0,3054;0,3054
"confiance";84;-0,3312;0,3312
"machine";91;0,3565;-0,3565
"auto";40;0,969;-0,969
"détruire";190;-0,6753;0,6753
"neige";69;0,922;-0,922
"1940";11;0,9219;-0,9219
"1945";11;0,9219;-0,9219
"tribune";21;1,3149;-1,3149
"lausannois";14;-0,6187;0,6187
"réunir";36;0,3724;-0,3724
"ouvrage";21;0,9568;-0,9568
"centrale";24;-0,8165;0,8165
"bibliothèque";12;0,4239;-0,4239
"décès";19;-0,5833;0,5833
"mouvement";88;-0,3042;0,3042
"défense";52;-1,3894;1,3894
"édition";24;0,5821;-0,5821
"texte";63;-0,3628;0,3628
"préféré";16;0,7604;-0,7604
"passage";109;0,8068;-0,8068
"secret";53;0,9716;-0,9716
"vaudois";34;0,6904;-0,6904
"mini";23;0,2967;-0,2967
"inapproprié";11;0,2923;-0,2923
"personnalité";28;0,4354;-0,4354
"marquer";47;0,9188;-0,9188
"cinéma";64;-0,4055;0,4055
"durant";80;-0,7028;0,7028
"6";196;-1,5323;1,5323
"entier";169;-1,8173;1,8173
"renseignement";11;0,2923;-0,2923
"toutes";654;1,6788;-1,6788
"boucle";26;1,1443;-1,1443
"ouverture";45;-0,5942;0,5942
"peau";114;1,375;-1,375
"fléau";27;-0,4051;0,4051
"piéton";52;0,863;-0,863
"courant";116;-0,2806;0,2806
"vision";99;0,6093;-0,6093
"effectivement";213;1,7193;-1,7193
"rendre";562;-0,3655;0,3655
"rouler";126;0,5463;-0,5463
"pourtant";375;0,6158;-0,6158
"courageux";38;0,3929;-0,3929
"anonyme";20;-0,6837;0,6837
"vert";68;-1,8489;1,8489
"facteur";47;-0,7322;0,7322
"or";109;-1,196;1,196
"pâte";13;0,5752;-0,5752
"fruit";89;-0,3365;0,3365
"quartier";71;0,5033;-0,5033
"hallucinant";24;0,3876;-0,3876
"30";225;-0,6023;0,6023
"attendre";392;-1,6423;1,6423
"diffusion";13;0,3263;-0,3263
"co2";36;-0,3546;0,3546
"écologiste";11;0,2923;-0,2923
"2h";17;-0,2294;0,2294
"racheter";21;1,3149;-1,3149
"gâchis";11;0,5498;-0,5498
"écologique";71;-1,1385;1,1385
"1950";13;1,3817;-1,3817
"reproduction";13;0,5752;-0,5752
"échelle";60;-1,9166;1,9166
"élevage";39;1,084;-1,084
"agriculteur";20;1,5298;-1,5298
"emji_visage_déçu";41;1,6769;-1,6769
"emji_visage_démoralisé_avec_goutte_de_sueur";33;0,581;-0,581
"superbe";26;1,4981;-1,4981
"eh";76;0,4867;-0,4867
"souffrance";61;-1,7201;1,7201
