"";"*rts_a";"*rts_i"
"séance";3;7
"lourd";7;3
"inquiéter";12;19
"profondément";6;16
"strictement";5;15
"emji_visage_soulagé";27;7
"attendre";33;74
"proche";10;22
"pertinent";20;34
"emji_ok";11;7
"g";2;8
"scénario";2;10
"atteindre";7;21
"stade";5;8
"ironique";4;8
"tjrs";10;16
"arabe";22;11
"tkt";12;8
"sauf";24;41
"etre";8;25
"emji_visage_avec_un_sourire_malin";24;11
"victimisation";9;5
"démontrer";7;19
"limiter";8;15
"deja";3;11
"contenir";3;22
"fonder";4;19
"concentrer";5;12
"adulte";21;42
"lambda";1;9
"plaindre";16;47
"volontairement";4;7
"jusqu";6;6
"rouge";7;6
"surprendre";15;17
"fidèle";5;6
"preuve";64;88
"retenir";6;8
"proposer";10;30
"profil";20;48
"pro";4;22
"populaire";3;12
"officiel";1;15
"ds";21;4
"énoncé";6;4
"stop";4;9
"définition";27;37
"argumentation";4;11
"adn";1;12
"tiens";9;38
"diffamation";1;15
"acceptable";7;4
"projection";6;4
"prouver";52;68
"orthographe";22;12
"bisou";8;8
"emji_homme_qui_hausse_les_épaules_peau_légèrement_mate";22;5
"visiblement";24;35
"naître";18;17
"davantage";4;11
"collectif";3;13
"inscrire";6;8
"patrimoine";2;8
"emji_visage_de_geek";11;17
"intervention";6;33
"quelconque";4;8
"mouvement";13;28
"and";4;7
"correspondre";4;15
"tirer";19;19
"beurre";7;6
"comparaison";9;9
"dérive";2;9
"privilégié";7;15
"chaîne";16;19
"national";9;38
"emji_visage_neutre";11;4
"viser";12;39
"poids";5;12
"motiver";5;5
"bizarre";18;23
"associer";8;4
"appartenir";5;17
"particulier";21;14
"purement";6;11
"hypocrite";12;10
"texte";19;25
"groupe";29;43
"foi";36;20
"religion";34;27
"catholique";6;7
"réagir";14;27
"mère";15;12
"singulier";6;5
"exprès";7;9
"membre";4;14
"retirer";6;23
"xénophobie";9;11
"affaire";3;28
"facteur";7;11
"frapper";8;18
"affirmation";4;9
"étranger";12;58
"quant";9;14
"racial";4;9
"cesser";6;4
"tt";12;7
"travers";6;13
"extrémiste";4;17
"emporter";4;11
"ineptie";4;6
"puisque";15;25
"ouvrage";4;8
"avance";14;11
"guerre";18;35
"front";4;10
"arrière";10;8
"tenue";6;7
"infirmier";4;7
"énorme";7;7
"vendre";4;11
"misogynie";7;5
"contribuer";3;10
"commenter";34;45
"vivement";6;8
"éducation";20;22
"agréable";10;6
"douteux";5;11
"utilisation";13;13
"entreprise";4;6
"maison";10;11
"décision";6;37
