selon;0;0;0;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0
pourtant;1;1;0;0;0;0;0;1;0;0;1;0;0;3;0;0;1;0;0;0;0
plusieurs;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1
là;1;1;0;1;0;0;1;0;1;1;0;0;0;0;2;0;1;1;0;0;0
htag_mode;1;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
htag_meteo;0;0;0;1;0;2;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0
htag_invention;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0
htag_danse;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;1
htag_cinema;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0;0
htag_armeesuisse;0;0;1;1;0;0;0;3;0;0;1;0;0;1;1;0;0;0;0;1;0
fort;0;0;0;2;0;0;0;1;0;0;1;0;0;2;1;1;0;0;1;1;0
autour;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;2;2;0;0;1
1999;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0
1994;1;2;0;0;0;0;1;2;0;0;0;0;0;1;1;1;0;0;0;0;0
1981;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0
vive;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
quelle;1;1;0;0;1;0;0;1;0;1;0;1;2;0;0;0;1;0;0;0;0
htag_swisscheese;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0
htag_montagne;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;0;1;0;1;0;0
htag_lacleman;0;0;0;0;0;1;2;0;1;0;1;2;0;1;0;0;0;0;0;0;0
htag_fromage;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0
htag_fribourg;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0
