"";"X.rts_a";"X.rts_i"
"heureux";1,26;0,27
"paradis";0,2;0,07
"gentil";0,66;0,2
"leçon";0,45;0,13
"joli";0,75;0,31
"dignité";0,06;0,08
"célestin";0,38;0
"reposer";0,27;0,23
"paix";0,53;1,45
"sûr";1,11;1,28
"place";0,85;1,76
"emji_visage_soulagé";0,55;0,09
"p";0,4;0,24
"tit";0,18;0,03
"emji_mains_en_prière_peau_moyennement_claire";0,36;0,24
"emji_colombe";0,19;0,43
"content";0,41;0,44
"tendresse";0,11;0
"ptit";0,05;0,02
"bonhomme";0,1;0,01
"définir";0,08;0,08
"type";0,44;0,5
"emji_visage_implorant";0,31;0,06
"émouvant";0,5;0,01
"linge";0,08;0,02
"salutation";0,05;0,03
"simplicité";0,48;0,01
"stresser";0,11;0,03
"malade";0,24;0,26
"finir";0,85;1,15
"personnage";0,21;0,1
"partager";0,68;0,47
"cadeau";0,5;0,35
"charme";0,17;0,02
"emji_coeur_blanc";0,41;0,21
"emji_abeille";0,1;0,01
