"";"";"";"";"htag_cinemafrancais";""
"195";"htag_protectiondelanature";"-0.339840595192824";"0.0393590819310488";"0.807859326394679";"458"
"196";"htag_maisonderetraite";"-0.339840595192824";"0.0393590819310488";"0.807859326394679";"459"
"197";"htag_comedien";"-0.261507754514965";"-0.0140568343001045";"0.807859326394679";"460"
"198";"htag_berger";"-0.339840595192824";"0.0393590819310488";"0.807859326394679";"461"
"199";"dame";"-0.0942254772639402";"0.0326123072200214";"0.807247935884679";"462"
"200";"entre";"0.618475930599793";"0.177220166146185";"0.806912657217904";"463"
"201";"htag_humour";"-0.0021298321900626";"0.581150265735732";"0.806912657217904";"464"
"202";"mon";"0.0569710529784774";"-0.00881965044163694";"0.805680015060646";"465"
"203";"beaucoup";"0.073807238257029";"0.22830543047455";"0.804279733570001";"466"
"204";"htag_insolite";"0.572872662184383";"0.141352275367746";"0.804279733570001";"467"
"205";"1980";"0.953271804063127";"0.117293283324858";"0.804279733570001";"468"
"206";"htag_running";"-0.29989069499768";"0.212932782066619";"0.804151538785646";"469"
