"";"";"";"";"htag_metier";""
"82";"htag_amour";"-0.210848205080806";"0.777580057809408";"0.817793667851534";"269"
"83";"90";"-0.437941597140178";"0.213455206879584";"0.817785401339175";"270"
"84";"entre";"-0.443866045604774";"0.280472219646135";"0.817752335289741";"271"
"85";"htag_dance";"-0.347527284051042";"-0.0475401024502225";"0.817256344548235";"273"
"86";"pis";"-0.49035240910963";"0.809736335307583";"0.817256344548235";"274"
"87";"merci";"-0.4416774350358";"0.691915092713706";"0.817256344548235";"275"
"88";"quoi";"-0.419033939203804";"0.353949296791325";"0.817041415226916";"276"
"89";"htag_armeesuisse";"0.182533930506356";"0.724026205603945";"0.816417293543854";"280"
"90";"htag_mode";"-0.431890022426866";"0.809000549031645";"0.816417293543854";"281"
"91";"1988";"-0.376370563962912";"-0.19898708336183";"0.816417293543854";"282"
"92";"depuis";"-0.227001878357008";"0.129635289567977";"0.816363561213524";"283"
"93";"vouloir";"-0.429964942863939";"0.297782199091717";"0.816218897247251";"285"
"94";"htag_soleil";"-0.525139613670266";"0.797090871361451";"0.815904769777631";"286"
"95";"htag_cff";"-0.525139613670266";"0.797090871361451";"0.815904769777631";"287"
"96";"htag_running";"-0.560773974653804";"0.725757937298064";"0.815904769777631";"289"
"97";"htag_protectiondelanature";"-0.560773974653804";"0.725757937298064";"0.815904769777631";"290"
"98";"htag_leysin";"-0.560773974653804";"0.725757937298064";"0.815904769777631";"291"
"99";"htag_tabac";"-0.464706296597527";"0.42021469322085";"0.815904769777631";"292"
"100";"htag_tradition";"-0.464706296597527";"0.42021469322085";"0.815904769777631";"293"
"101";"htag_cigarette";"-0.464706296597527";"0.42021469322085";"0.815904769777631";"294"
"102";"htag_stoptabac";"-0.464706296597527";"0.42021469322085";"0.815904769777631";"295"
"103";"htag_mylausanne";"-0.454527890397022";"0.654423025590605";"0.815904769777631";"296"
"104";"peut_être";"-0.454527890397022";"0.654423025590605";"0.815904769777631";"297"
