"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"henriette";-0,253;-0,753;-0,378;1,628;-0,452;-0,253;6,485;-0,725;0,07
"goût";-0,381;-1,132;-0,568;0,646;3,574;1,243;0,224;0,009;-1,482
"genre";-0,381;0,003;-0,568;0,646;0,284;-0,381;-0,723;-1,089;3,488
"garder";-0,381;5,3;-0,568;0,646;-0,679;-0,381;0,224;0,009;-1,482
"françois";-0,381;32,129;-0,568;-0,514;-0,679;-0,381;-0,723;-1,089;-1,482
"france";-0,317;-0,942;-0,473;-0,428;4,931;1,778;0,454;0,086;-1,234
"foot";-0,381;32,129;-0,568;-0,514;-0,679;-0,381;-0,723;-1,089;-1,482
"filmer";-0,381;-1,132;0,497;-0,514;-0,679;1,243;3,232;0,009;-0,036
"figure";1,243;0,003;-0,568;5,404;-0,679;-0,381;-0,723;1,513;-1,482
"façon";-0,317;-0,942;-0,473;7,162;13,739;-0,317;-0,602;-0,907;-1,234
"fameux";-0,19;-0,564;2,335;-0,257;1,783;-0,19;-0,36;-0,543;0,351
"fabrication";-0,317;-0,942;0,827;-0,428;-0,565;1,778;0,454;0,086;0
"explication";1,243;-1,132;-0,568;-0,514;-0,679;-0,381;-0,723;21,536;-1,482
"exercice";-0,253;-0,753;-0,378;-0,342;-0,452;34,282;-0,481;0,291;-0,987
"essayer";-0,381;0,003;-0,568;5,404;-0,679;-0,381;9,744;-1,089;-1,482
"entendre";-0,317;0,066;-0,473;-0,428;0,539;-0,317;-0,602;-0,907;5,14
"emji_ballon_de_football";-0,381;20,668;-0,568;-0,514;-0,679;-0,381;-0,723;0,009;-1,482
"démonstration";-0,317;-0,942;-0,473;-0,428;0,539;-0,317;0,454;7,741;-1,234
"démarrer";-0,381;5,3;-0,568;5,404;-0,679;-0,381;-0,723;-1,089;-0,036
"draguer";-0,253;-0,753;-0,378;1,628;-0,452;-0,253;0,858;0,291;0,07
"dossier";20,967;-1,132;-0,568;-0,514;0,284;1,243;-0,723;-1,089;-0,036
"discipline";-0,317;-0,942;-0,473;-0,428;-0,565;1,778;0,454;2,363;0
"célèbre";-0,381;0,003;-0,568;-0,514;0,284;-0,381;-0,723;1,513;0,704
"crédit";-0,19;-0,564;2,335;2,695;-0,339;-0,19;-0,36;0,755;-0,739
"consacrer";-0,381;0,003;-0,568;-0,514;-0,679;1,243;0,224;0,009;0,704
"civil";-0,317;-0,942;-0,473;1,022;0,539;-0,317;4,51;0,086;-1,234
"choix";-0,381;0,003;-0,568;0,646;-0,679;-0,381;-0,723;1,513;0,704
"chaux";-0,317;2,21;0,827;-0,428;0,539;-0,317;-0,602;-0,907;0
"chaussure";-0,317;-0,942;0,827;1,022;-0,565;-0,317;-0,602;2,363;0
"changement";-0,381;-1,132;4,683;-0,514;-0,679;-0,381;-0,723;12,277;-1,482
