"";"classe 1";"classe 2";"classe 3";"classe 4"
"souffrir";1;1;0,276;1
"retirer";0,314;1;1;0,51
"raconter";1;1;1;0
"nourriture";1;1;0;1
"frapper";0;1;1;1
"etait";0,898;1;1;0,006
"emji_yeux";1;1;1;0
"emji_visage_souriant_avec_une_larme";1;1;1;0
"crier";0,002;1;1;0,366
"congo";0;1;1;1
"concret";1;1;0,594;0,248
"collectif";1;1;0,01;1
"annoncer";0;1;0,594;1
"échange";1;1;0,013;1
"véhicule";1;1;0;1
"prétendre";0,18;1;1;0,054
"mentir";0,158;1;1;0,038
"masse";0,314;1;0;1
"installer";1;1;0,001;1
"diminuer";1;1;0;1
"commenter";1;1;1;0
"étudiant";1;0,903;0;1
"qualifier";0;1;1;1
"foyer";1;1;0,147;0,882
"faible";1;1;0;1
"facilement";1;1;0;1
"espèce";1;1;0,445;0,025
"engagement";0,045;0,268;1;0,51
"emji_visage_avec_un_léger_sourire";0;1;1;1
"choquer";1;1;1;0,005
"blesser";0;1;1;1
"égal";1;1;0,012;0,683
