"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
"1985";15,743;-0,283;-0,293;-0,251;-0,422;-0,477;-0,2;-0,22;-0,422;-0,272;-0,378;1,848;-0,4;-0,241;-0,488;-0,2;-0,346;-0,411;-0,357;0,717;0,845;10,694
"1974";1,404;-0,447;-0,463;-0,397;3,31;-0,753;-0,316;1,404;0,251;-0,43;-0,598;-0,48;-0,632;-0,381;-0,771;1,682;0,49;3,462;-0,564;2,543;-0,718;-0,48
"1971";1,404;0,831;-0,463;1,078;0,251;-0,753;-0,316;-0,348;-0,667;-0,43;-0,598;-0,48;-0,632;1,176;-0,771;-0,316;-0,547;20,496;0,448;0,128;-0,718;-0,48
"via";-0,252;1,638;-0,336;-0,288;-0,483;-0,546;-0,228;-0,252;-0,483;-0,312;-0,433;-0,348;-0,458;-0,276;-0,558;-0,228;-0,396;104,758;-0,409;-0,558;-0,52;-0,348
"pendant";-0,22;-0,283;-0,293;-0,251;-0,422;-0,477;-0,2;-0,22;-0,422;-0,272;1,241;1,848;-0,4;-0,241;0,717;-0,2;9,069;-0,411;-0,357;0,717;-0,455;1,848
"parfois";-0,316;-0,406;-0,421;-0,361;-0,605;0,232;-0,286;-0,316;0,364;-0,391;0,508;-0,436;0,431;1,429;-0,7;-0,286;-0,497;11,726;-0,512;3,08;-0,652;-0,436
"me";-0,316;1,038;-0,421;1,318;-0,605;0,232;-0,286;-0,316;3,938;-0,391;-0,543;-0,436;-0,574;-0,346;3,08;-0,286;-0,497;0,396;-0,512;0,211;0,279;-0,436
"htag_valaiswallis";-0,316;-0,406;-0,421;8,391;-0,605;3,206;-0,286;9,973;-0,605;1,124;-0,543;-0,436;-0,574;1,429;0,211;1,996;-0,497;-0,589;-0,512;-0,7;-0,652;-0,436
"htag_commeunlundi";-0,189;-0,242;-0,251;-0,215;22,408;1,094;-0,171;-0,189;-0,361;2,844;-0,324;-0,26;1,526;-0,206;-0,418;-0,171;-0,296;-0,352;-0,306;-0,418;-0,389;-0,26
"htag_cinema";-0,22;-0,283;1,961;-0,251;0,996;-0,477;-0,2;-0,22;-0,422;-0,272;1,241;26,842;-0,4;-0,241;0,717;-0,2;-0,346;-0,411;-0,357;-0,488;-0,455;-0,304
"cela";-0,284;1,301;-0,378;-0,324;0,515;-0,615;-0,257;-0,284;-0,544;-0,351;-0,488;1,127;0,595;1,745;0,327;-0,257;6,305;0,554;-0,46;-0,629;-0,586;-0,392
