"";"";"";"";"18h45";""
"61";"armaillis";"0.822405639506894";"1.13560286759853";"0.953868641321585";"162"
"62";"plutôt";"0.683218870994758";"0.635747159339798";"0.950801245956998";"164"
"63";"vivant";"0.326674669199726";"0.594518417244124";"0.950575404759825";"165"
"64";"partie";"0.623429293014259";"0.262950828412604";"0.949776533659378";"168"
"65";"rêve";"0.34009454993684";"0.762716061924712";"0.94947990641533";"169"
"66";"rythme";"0.761978605535054";"1.11750250108895";"0.949210245284378";"171"
"67";"sourire";"0.484414362253012";"0.625854421785386";"0.949166425350598";"172"
"68";"automobile";"0.434962010566682";"0.248017676613962";"0.949166425350598";"173"
"69";"flamme";"0.937023141207547";"1.01952827088581";"0.949136088473366";"174"
"70";"musique";"0.850124256216197";"-0.302891172284674";"0.945927121015029";"175"
"71";"vallon";"0.653476166429869";"0.581700845340838";"0.945718133638541";"176"
"72";"cabanon";"0.653476166429869";"0.581700845340838";"0.945718133638541";"177"
"73";"sembler";"0.628503383092018";"-0.659814570501123";"0.945327124998659";"178"
"74";"bonheur";"0.780859464374737";"0.747989702778129";"0.942751861198062";"180"
"75";"face";"0.504454559393275";"0.406233796179629";"0.942751861198062";"181"
"76";"armée";"-0.206816220424538";"0.533490271338361";"0.942596806047764";"182"
"77";"nouveau";"0.184939816935608";"0.298661342245891";"0.942596806047764";"183"
"78";"international";"0.383160806571456";"0.368779097711314";"0.941315915675739";"184"
"79";"interroger";"0.744792893073154";"0.826161291253076";"0.941174343581988";"185"
"80";"vélo";"0.946963954391919";"0.350539215733873";"0.938939526959218";"192"
"81";"gérard";"-0.919245749890682";"-0.0868085548156679";"0.938939526959218";"193"
"82";"festif";"0.598094612940543";"-0.112116335269338";"0.937813691737491";"196"
"83";"plaisir";"0.612483847628795";"-0.292208994935701";"0.932046314299241";"199"
"84";"passion";"-0.894729983796271";"-0.118244872949438";"0.928058700325279";"203"
"85";"découvrir";"-0.37854400928505";"0.177035184572791";"0.927944094344624";"204"
"86";"parent";"0.840806750143231";"0.825616867491681";"0.925180067752359";"205"
"87";"site";"-1.05313826264478";"0.113265262117303";"0.924725014593877";"207"
"88";"complet";"-0.88498307703492";"0.258703002159351";"0.924725014593877";"208"
"89";"enfance";"-0.996628701807735";"-0.0410149103562556";"0.924725014593877";"209"
"90";"tromper";"0.450329912455587";"0.257315406062229";"0.924607037849085";"210"
"91";"htag_été";"0.905857017091987";"1.08752352656067";"0.924387938180186";"211"
"92";"physique";"0.84250748294832";"0.873585795704155";"0.924054232530632";"212"
"93";"plage";"0.507416050619465";"0.670879035494348";"0.924054232530632";"213"
"94";"berger";"0.770869554955646";"0.818403309683823";"0.921023915571551";"216"
"95";"tirer";"0.752876577978632";"0.814127714420694";"0.921023915571551";"217"
"96";"heureux";"0.615782965161317";"0.646565340946221";"0.921007061750867";"218"
"97";"garçon";"-0.812684353540126";"0.17974277682198";"0.921007061750867";"219"
"98";"vacance";"0.378438190925071";"0.815504207550272";"0.919119433834198";"221"
"99";"léman";"0.692761270656711";"1.27493753716211";"0.91528013348226";"226"
"100";"foutre";"0.442023703240913";"0.758339339986397";"0.911892515524667";"227"
"101";"tranché";"0.975628403440512";"0.96655964610599";"0.911892515524667";"228"
"102";"magnifique";"0.467981586542124";"0.393175517666832";"0.911292519508297";"231"
"103";"montreux";"0.397567225969106";"0.524406707966064";"0.908137484276151";"235"
"104";"rechercher";"0.315054771824069";"0.919376927886621";"0.906947604535823";"236"
"105";"femme";"0.0758752903397316";"-0.134702873924867";"0.906647606527638";"237"
"106";"saison";"0.0374071093139849";"0.420081476548157";"0.905892555360971";"238"
"107";"air";"0.0743312024140626";"0.305615968947621";"0.905892555360971";"239"
"108";"bord";"0.390209558928006";"-0.295656684984923";"0.904685821799957";"242"
"109";"prédiction";"0.491411461587325";"0.295086097323602";"0.904062230434629";"243"
"110";"oeil";"0.126907364397376";"0.38334614061477";"0.904062230434629";"244"
"111";"affaire";"0.618946391121413";"0.224574765298598";"0.904062230434629";"245"
"112";"genre";"-0.737601962932125";"0.28772501336418";"0.904062230434629";"246"
"113";"élève";"0.509037874580197";"0.518212853191741";"0.904062230434629";"247"
"114";"métier";"-0.478989883776637";"0.529910761933862";"0.903964478274659";"248"
