"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14"
"heure";-9,593;-12,472;-0,979;21,308;-0,326;-1,208;101,73;-1,807;-0,675;0,943;0,005;-2,076;-3,109;-6,91
"dernier";-14,849;-13,07;6,258;2,217;-1,605;-3,798;0,02;-4,798;112,661;0,463;-4,384;-2,024;-1,235;2,164
"mois";-13,73;-20,066;-2,661;-5,502;-3,081;-2,566;-0,204;-5,266;-8,477;639,135;6,872;-5,651;-16,087;-18,233
"essayer";-14,513;-14,121;0,02;0,183;-3,257;-6,103;-1,304;-3,382;2,174;-0,252;-1,843;-2,701;197,448;-0,223
"policier";-11,799;-22,321;-2,683;1834,955;-3,106;-9,774;-21,379;0,008;-13,027;-18,382;-23,62;-0,844;0,547;-4,634
"chercher";-12,522;-15,902;-0,221;0,17;-3,269;-0,042;-5,613;0,04;0,339;13,033;-0,096;-1,866;72,29;-2,09
"gagner";-11,799;-24,481;58,912;-5,593;-1,403;-3,424;-10,1;-4,054;-10,003;82,606;351,248;-7,247;-14,584;-20,207
"malheureusement";-10,52;-19,37;-1,137;-1,026;-0,448;-0,027;-0,013;0,668;-2,439;-4,042;-4,822;0,011;148,513;1,164
"terroriste";-11,244;-23,492;-2,575;-8,265;-2,98;-24,292;-28,5;-11,859;-17,34;-21,414;-24,75;-6,764;-17,062;1512,013
"solution";-13,674;-16,155;-0,143;-3,02;-1,369;-0,888;0,161;-1,901;-8,395;7,288;0,789;-3,143;113,047;0,004
"liberté";-9,158;-13,374;-2,531;15,154;-2,93;1,549;-7,523;481,098;-2,529;-10,291;-7,203;-0,545;-0,08;-2,807
"civil";-13,394;-21,532;-2,596;-2,833;-3,006;0,782;-24,415;-8,108;-17,534;-4,65;-16,871;-8,524;-9,317;804,239
"canton";-13,059;-11,746;-0,906;-1,716;1,595;-16,064;20,106;-7,819;-11,753;27,893;270,061;-0,545;-13,206;-25,916
"étranger";-13,226;-19,184;-2,564;-8,216;35,552;-1,489;-7,799;0,747;-10,493;-0,263;95,772;3,774;34,47;-4,564
"pire";-12,779;-5,914;0,132;-1,562;0,012;-2,274;147,997;0,004;-1,081;-9,852;-12,361;-0,133;0,524;2,176
"manière";-13,618;-19,87;-0,139;7,672;-3,056;-0,004;-1,542;-5,179;-7,066;-0,758;0,062;9,031;165,45;-7,105
"expliquer";-13,506;-10,927;-0,13;-0,04;-3,031;-0,057;-0,987;-3,812;-2,976;0,556;3,388;76,224;4,802;0,019
"argument";-11,41;-8,062;-0,97;-3,983;-3,018;0,742;-13,663;-0,175;13,878;-10,908;-0,124;217,817;11,006;-7,886
"emji_drapeau_territoires_palestiniens";1363,333;-14,612;-1,602;-5,58;-1,854;-14,317;-15,554;-7,376;-14,617;-10,585;-15,395;-7,644;-11,534;16,326
"aide";-13,45;-17,623;-2,607;0,517;-0,319;-1,679;-4,083;-1,057;-12,388;9,172;3,478;0,005;12,515;32,553
"simple";-11,355;-15,678;0,833;-0,03;5,659;0;-0,552;-1,745;-7,987;0,623;20,747;67,158;0,844;-4,818
"apprendre";-12,835;-22,701;-0,083;-4,788;670,994;47,079;-5,048;-1,447;2,222;-7,236;-10,907;5,678;2,567;-9,063
"triste";-4,601;-8,808;-0,098;-2,612;-2,93;246,163;-6,402;-0,886;-1,851;-3,354;-7,203;-0,188;2,984;-2,807
"international";-13,003;-22,997;0,111;57,703;-0,266;-14,253;-2,759;-3,453;-8,729;-5,173;-8,374;-0,526;-2,578;291,353
"ouvrir";-13,059;-18,891;-0,098;0,048;0,005;-6,13;-2,823;160,279;0;0,215;-0,782;2,873;4,727;-0,76
"étude";-12,5;-17,913;-2,423;-9,394;0,022;-0,934;-3,69;-5,726;-2,005;13,917;35,708;271,992;-0,091;-26,623
"honte";-12,723;-11,205;-2,466;0,098;-1,182;190,651;-9,437;-1,389;-1,043;-0,641;-0,098;-1,624;-1,663;0,796
"bas";-12,723;-4,768;0,138;-0,382;0,014;-0,679;-2,449;-0,305;-1,043;7,211;85,668;-1,624;0,005;-3,074
"acheter";-10,634;-9,614;-2,456;-7,723;-2,842;-12,041;409,968;-5,864;-4,703;0,147;11,296;-6,236;-14,178;-8,739
"possible";-9,103;-15,012;-0,094;-0,143;0,006;0,154;0,801;-1,534;2,015;30,725;0,507;0,244;-0,237;-1,568
"propre";-12,891;-14,822;-0,879;-2,503;0,482;1,206;-0,588;0,001;0,006;-0,157;1,465;2,087;51,811;-2,602
"avis";-12,611;-11,025;-0,069;-0,078;1,806;-0,614;-16,981;17,576;-1,483;-11,091;-6,551;11,507;235,268;-7,473
"façon";-10,578;-9,527;0,15;3,612;-1,16;16,933;0,405;1,855;-5,695;-0,087;-1,408;-0,398;26,126;-4,496
"voter";-6,735;-13,78;-0,781;-7,379;0,63;-3,197;-6,264;520,925;-4,223;0,004;5,787;-3,248;1,358;-18,297
"terre";-10,08;-15,306;-0,755;-1,211;-2,717;-1,105;1,693;-4,018;-6,162;-11,866;-1,03;0,016;-0,719;223,652
"sécurité";-12,5;-15,98;-2,423;174,174;-2,805;-0,269;-3,69;-4,314;-10,851;24,037;-0,053;2,473;0,706;-1,111
"interdire";-11,83;-13,025;-2,293;25,704;-0,144;5,145;131,757;-2,646;-3,691;-0,937;-9,252;-0,188;-0,557;-8,337
"mauvais";-12,276;-12,077;1,194;-0,677;-0,187;1,88;2,079;1,326;82,394;-0,168;-6,071;0,006;-0,047;-7,995
"voiture";-6,32;-9,775;-2,293;-1,074;-2,654;-23,583;1068,147;-8,557;-20,929;-1,461;-7,871;-7,126;-20,249;-24,97
"super";-3,868;5,118;-0,045;-4,261;0,039;0,939;17,112;-0,539;0,014;-1,741;22,937;-1,322;-6,187;-14,673
"choix";-6,527;-17,131;-0,746;-0,592;-2,705;39,135;-4,887;-1,824;-3,061;19,769;1,809;1,191;5,885;-6,47
"initiative";-3,868;-17,326;-2,358;-5,67;2,041;3,518;-12,731;7,77;-3,183;-1,17;64,808;-7,425;82,456;-21,742
"égalité";-9,195;-8,806;1,642;-8,234;-2,517;969,586;-17,793;-4,685;-10,343;-3,951;-6,926;-6,582;-10,016;-25,602
"respect";-1,027;-17,034;-0,737;1,343;0,049;372,564;-14,016;-3,934;-6,007;-17,104;-14,364;-0,025;-0,117;0,167
"répondre";-11,941;-11,525;3,305;-5,484;-0,155;-6,716;-1,13;-2,721;126,595;-8,554;-8,046;27,671;23,197;-2,771
"foutre";-6,787;-5,321;-0,054;5,345;-1,106;-3,263;-5,297;0,032;152,381;0,265;-0,396;-5,95;-5,318;-0,328
"terme";-11,439;-20,231;1,538;-0,381;-0,935;-3,886;-9,852;4,348;-3,242;-3,279;-1,575;15,145;139,275;1,224
"mériter";-0,972;-13,119;42,453;-0,008;0,056;-2,04;-13,794;-8,606;-2,122;-3,797;37,61;0,036;36,239;0,213
"équipe";-3,446;-10,223;6933,027;-7,279;-0,699;-3,144;-10,394;-5,341;-8,632;-4,694;-4,235;-7,403;-0,714;-25,21
"majorité";-12,053;-19,167;-2,336;-0,203;0,691;2,172;1,763;2,384;-2,282;-3,996;73,94;4,164;-1,124;-3,673
"important";-12,165;-17,326;-2,358;-0,026;-1,073;124,748;-1,868;-1,89;-4,088;0,011;1,678;2,841;0,966;-6,667
"sembler";-11,941;-15,017;0,233;-0,011;-1,03;-0,092;5,151;-0,128;-8,5;1,327;-0,914;-0,609;61,649;0,051
"victime";-6,063;-14,344;-2,239;-0,416;-2,592;75,509;-20,491;0,005;-5,399;-3,407;-11,864;2,493;2,23;49,377
"taxe";-10,992;-11,618;-2,131;-10,033;-2,467;-9,078;-12,026;-9,814;-19,448;16,63;871,24;-8,168;-12,894;-20,861
"entendre";-11,662;-5,545;-0,685;-0,122;0,073;-0,18;-5,313;0,485;8,934;-9,57;-2,464;-2,811;85,326;1,454
"risque";-11,495;-10,793;-2,228;0,997;-2,579;0,117;27,263;-2,425;-7,822;18,328;0,412;14,95;0,008;-10,252
"classe";-5,96;-9,157;-2,217;-8,436;0,092;-13,01;-7,209;-3,518;-12,373;-1,158;869,186;-3,819;-7,549;-24,007
"également";-9,582;-16,351;-0,021;-0,435;0,826;0,277;7,13;-1,57;-0,153;0,324;10,35;0,073;-0,441;1,043
"israel";-10,881;-19,244;-2,109;-7,932;-2,442;-17,458;-21,154;-7,72;-17,107;-19,31;-20,275;-8,066;-18,456;1306,103
"feu";-9,692;-11,159;-2,271;4,923;-2,629;-7,591;28,102;-6,668;-2,705;-9,658;-17,625;-1,869;-6,713;223,644
"pareil";-9,526;-6,588;-2,239;-1,679;-0,956;0,007;55,405;1,925;2,503;1,166;-2,349;0,082;0,094;-11,788
"manifestant";-9,416;-16,058;-2,217;2126,19;-2,567;-22,804;-22,348;-10,213;-18,091;-18,152;-21,315;-10,584;-11,993;16,887
"maladie";-9,305;-17,888;-2,196;-8,335;-2,542;-11,176;-3,019;-8,114;-17,894;1218,17;-7,096;-5,1;-8,733;-25,878
"occuper";-11,55;-14,344;-0,019;-1,679;-0,119;-0,714;-1,863;-0,341;9,282;48,037;-7,439;-3,906;1,577;8,826
"baisser";-10,937;-13,29;-0,575;-9,982;-2,454;-17,568;0,525;-9,764;-17,205;778,727;14,697;-8,117;-18,562;-24,911
"absolument";-7,482;-12,179;0,331;-0,346;-0,914;-0,084;-7,02;2,141;23,906;0,193;-0,538;-1,636;37,851;-2,024
"nombre";-11,216;-19,836;134,921;4,326;-0,893;-3,598;20,161;-4,685;-1,524;11,934;0,077;-0,857;-2,958;0,126
"manger";-10,49;-10,779;-0,51;-5,819;-2,354;-6,874;690,971;-7,376;-5,107;-0,23;-8,511;-5,941;-4,919;-21,671
"taxer";-10,49;-18,554;-2,033;-9,575;-2,354;-20,913;-8,119;-2,83;-12,532;-9,219;1273,209;-2,018;-11,989;-26,04
"nouvelle";-2,024;-0,896;0,372;-6,352;-2,492;3,744;27,584;-0,018;-0,202;3,154;0,323;-0,807;-7,026;-2,401
"effet";-11,16;-7,314;-0,609;0,605;-0,883;0,922;87,42;-0,234;-2,143;-0,534;0,003;18,907;-0,954;-23,319
"arme";-8,863;-13,195;-2,109;2,365;-2,442;-0,12;-4,163;-2,031;-9,799;-1,907;-4,167;1,334;-0,763;200,285
"emji_visage_avec_des_symboles_dans_la_bouche";-2,599;20,421;-0,504;-0,031;-0,583;-0,105;0,234;0,297;-2,664;-0,01;-0,484;-0,761;1,61;-1,43
"crime";-10,658;-18,85;-2,066;-3,116;-2,391;-4,793;-22,869;-9,515;-7,942;-14,758;-10,323;-1,259;-5,156;794,02
"poser";-11,327;-13,961;-0,634;-3,618;-0,914;-4,705;-3,019;-8,114;2,07;0,037;-4,758;8,781;247,716;-7,377
"exactement";-1,408;-14,152;-0,651;-3,702;0,092;-1,074;-6,041;0,585;0,166;0,781;-1,575;12,723;52,851;-0,372
"base";-7,428;-10,429;-2,185;-0,33;5,056;-0,001;-6,927;-3,394;-1,571;50,772;-0,508;124,66;-1,035;-6,153
"éviter";-11,271;-8,894;-0,011;-2,439;-2,529;-0,546;4,704;-2,28;-3,979;13,475;-0,222;43,363;12,583;-6,153
"valoir";-2,137;-1,569;-0,011;-2,439;0,939;-1,463;-0,645;-0,714;-2,252;-2,284;103,479;-1,604;1,918;-2,612
"retrouver";-11,048;-5,875;4,028;-0,034;-0,862;4,845;3,336;-0,207;-4,732;-4,774;12,422;-0,05;15,345;-3,856
"suivre";-11,104;-11,805;-2,152;1,271;-0,872;-9,272;-2,035;-0,22;2,377;6,359;-0,422;-0,323;71,966;-0,213
"parent";-8,642;-12,813;-2,066;-2,036;0,182;196,693;-4,826;-1,069;-12,818;20,525;12,262;-7,862;-1,645;-22,083
"langue";-7,816;-8,094;-1,904;-6,978;9043,914;-11,675;-11,337;-6,787;-13,245;-6,707;-8,899;-7,098;-10,791;-22,149
"source";-8,477;-14,404;-2,033;-4,29;0,207;-9,67;-0,059;0,002;5,515;-2,256;-0,026;273,764;-2,164;-0,031
"info";-5,499;0,135;-0,004;0,033;-2,454;-4,166;-0,446;-0,008;66,273;-3,613;-5,311;2,155;0,324;-0,366
"citoyen";-10,825;-19,146;-2,098;63,019;0,16;0,158;-8,725;1,692;-0,118;1,335;-0,623;-0,245;36,129;-5,373
"eau";-8,367;-10,594;0;30,187;-2,329;-16,47;639,364;-5,529;-10,599;-10,65;-13,262;-7,607;-10,133;-10,726
"train";-10,881;-8,283;-2,109;-3,282;-0,831;-4,091;306,263;-1,181;-5,646;2,665;-1,697;-4,727;-11,01;-1,039
"suffire";-11,216;-15,669;0,351;0,01;2,626;-0,908;0,678;-2,244;7,444;-3,951;21,557;-1,572;14,59;-1,898
"rue";-10,825;-13,099;-0,559;266,79;-0,82;-4,016;1,022;-0,156;0,026;-5,612;-10,61;-2,238;-0,014;5,342
"jouer";-5,093;-10,779;114,067;-4,29;-0,043;106,196;-0,911;-2,83;1,141;-1,553;-0,832;-0,004;-0,947;-9,535
"garder";-10,658;-16,708;-2,066;-0,005;-0,79;1,437;3,235;-0,479;-2,397;69,488;-1,497;0,05;2,827;-5,088
"représenter";-6,571;-10,594;62,228;-1,859;-0,037;-1,245;0,002;4,626;-0,465;-0,19;4,638;4,052;-0,032;0,304
"préférer";-10,937;-5,719;-2,12;-0,674;-2,454;0,682;-0,809;0,345;-1,296;37,386;2,637;-2,313;3,198;-0,679
"groupe";-10,156;-13,822;19,239;12,536;-2,279;-1,632;-5,112;3,572;-4,655;-1,271;-7,964;-0,997;1,39;86,725
"reconnaître";-6,731;-10,872;-2,044;-0,52;-0,769;0,001;-12,786;-0,102;-5,183;-7,818;-13,565;3,794;0,246;238,012
"face";-10,435;-12,431;-0,502;5,691;-2,341;2,411;-12,562;2,068;-5,031;-3,984;-3,596;13,62;64,544;1,431
"profiter";-10,546;-12,622;-2,044;-1,127;-0,769;-3,645;-2,101;-0,44;-4,086;-0,06;402,639;-7,76;-0,247;-11,089
"couper";-6,305;-11,86;888,219;-5,481;-2,266;-4,008;0,03;-1,557;-2,619;23,866;1,64;-4,083;2,131;-16,766
"clairement";-10,546;-12,622;0,491;-0,002;-0,047;1,57;-4,658;-7,425;-1;-0,06;-3,737;5,225;108,736;-0,042
"ultra";-9,988;-11,67;-1,936;-3,885;-0,019;-10,322;2,068;-0,266;-4,432;-10;610,332;-5,501;-12,854;-14,688
"oeil";-8,753;-6,734;-2,088;1,541;-2,417;-4,955;-4,005;597,487;-5,491;-5,534;-10,514;-3,306;-2,46;4,506
"haine";-10,435;-14,307;-2,023;1,035;0,215;3,231;-14,302;7,951;2,584;-10,744;-5,755;-0,002;0,632;66,508
"média";-8,367;-16,217;-2,012;0;0,224;-12,73;-14,187;1,236;154,863;-14,27;-4,537;16,465;1,148;6,641
"courage";121,496;-2,001;-1,99;-1,789;-2,304;1,938;-6,447;-0,349;2,047;-8,859;-4,385;-0,116;1,895;-0,561
"réponse";-10,267;-4,801;0,56;0,002;-0,719;-10,835;-15,805;-7,18;278,803;-4,845;-9,656;1,059;15,152;-2,039
"peur";-10,323;-2,863;-0,485;-0,102;-2,316;8,061;-3,39;-1,689;-0,436;-1,41;-1,834;11,572;50,703;-1,502
"européen";-10,1;-13,725;508,352;0,619;1,432;-4,008;-7,422;1,463;-0,099;-1,226;0,067;-0,969;-0,324;10,277
"imaginer";-8,256;-7,337;-0,477;-2,83;-0,032;0,165;1,107;-0,881;0,428;16,01;8,836;-1,054;1,895;-5,443
"fortune";-9,877;-13,337;-1,915;-3,796;-2,216;-15,483;-13,158;-2,402;-13,342;-3,297;1116,413;-9,139;-10,891;-20,162
"ia";-9,376;-5,992;-1,817;-4,858;-2,104;-9,205;-4,979;-2,063;79,561;2,554;-1;138,037;0,273;-16,926
"logique";-10,211;-8,716;0,001;0,163;14,911;-4,162;0,13;-2,634;-13,924;-0,789;14,185;14,417;44,92;-4,347
"journée";-6,252;-4,502;-1,947;-7,179;-2,254;287,556;-0,593;-1,524;-1,79;1,006;-9,277;-0,389;-1,115;-11,505
"concerner";-10,1;-17,863;-0,454;-0,904;-0,689;-1,016;-0,305;-1,557;-0,099;-0,004;66,851;6,099;12,174;-6,238
"choisir";-10,1;-10,131;0,003;-2,71;-2,266;12,012;-0,097;-0,038;-0,003;-0,004;0;0,158;46,061;-6,238
"mdr";-10,1;1,569;2,26;3,346;1,432;-4,008;-6,165;3,654;77,73;-0,343;0;-2,807;-4,375;-5,151
"détruire";-10,1;-10,131;-1,958;21,249;-0,689;-4,008;5,496;0,024;-0,699;-0,717;-0,257;-1,769;-0,1;27,658
"vidéo";-9,654;-7,829;-1,871;11,757;-2,166;-11,36;-9,428;-4,919;243,627;-9,446;-10,219;0,804;-0,416;6,606
"peine";-10,156;-13,822;-0,462;-2,75;1,405;0,044;-2,368;-2,595;23,686;0,905;-0,615;0,144;17,763;0,045
"intérêt";-9,543;-16,878;-1,85;-0,008;-0,005;-9,508;-4,172;-0,153;8,221;0,03;0,599;-0,235;81,976;0,004
"information";-7,651;-2,144;-1,871;0,053;-2,166;3,868;-12,703;-0,179;1,446;-7,879;-11,957;140,35;0,83;2,68
"franchement";-7,981;-6,912;-0,438;0,016;-2,241;-0,046;-0,557;0,036;94,065;1,668;0,095;-3,992;0,564;-12,982
"facile";-10,156;-15,824;4,907;-0,931;6,415;0,909;-2,368;-2,595;18,892;0,03;1,571;0,524;27,316;-15,081
"casser";-9,988;-11,67;-1,936;1019,287;-2,241;-10,322;-0,254;-6,934;-11,675;-3,431;-5,107;-3,992;-4,222;0,005
"semaine";-9,487;-14,647;-0,369;-0,627;7,41;-0,577;88,939;-2,137;-2,806;13,621;0,642;-3,587;-2,635;-3,217
"traiter";-9,821;-11,385;-0,415;-0,031;-0,013;24,002;-9,748;1,716;-2,32;-2,35;-10,511;5,013;9,893;18,622
"long";-9,766;-9,578;-0,407;-6,928;-0,011;0,152;-2,665;9,704;-6,579;12,39;-0,397;-0,807;97,714;-6,78
"économique";-9,431;-14,549;-1,828;-4,906;-0,571;-0,23;0,246;-3,284;-7,482;56,237;59,254;-0,009;0,055;-6,142
"économie";-9,766;-17,272;-1,893;-5,193;-0,629;-17,302;5,264;-2,326;-8,01;4,819;471,052;-1,562;-9,072;-22,011
"chiffre";-9,598;-9,302;-1,861;-0,675;-2,154;-4,328;-1,743;-0,002;2,243;33,17;15,137;34,528;-2,766;-7,703
"accepter";-9,654;-11,1;-0,392;0,343;-0,61;42,792;-5,429;-0,612;-11,105;35,826;-2,656;-0,027;0,83;0,056
"uniquement";-9,988;-15,53;-0,438;-0,05;-0,669;0,287;1,428;-2,479;0,609;-0,294;0,676;1,272;25,879;-0,386
"toucher";-9,71;-7,918;-1,882;-5,145;-0,62;-0,725;7,948;-0,635;-5,21;1,351;106,722;0,769;-0,859;-6,673
"fédéral";-9,487;-12,659;-1,839;66,76;-0,004;-4,168;-12,362;1,151;-6,162;92,224;-6,884;-1,395;14,991;-3,217
"financer";-7,761;-13,143;-1,893;-8,914;-2,191;-13,353;-11,226;-0,009;-17,277;28,884;165,742;-3,811;-0,899;17,004
"démocratie";-7,321;-10,533;-1,807;21,887;-2,091;-14,388;-17,815;13,622;0;-10,585;-8,057;6,029;71,722;13,965
"moyenne";-9,153;-16,188;0,037;-8,354;-2,054;-7,321;0,793;-6,2;-16,193;-0,558;742,383;-1,203;-17,343;-20,494
"haut";-6,039;-13,24;0,685;-3,752;0,325;0,378;4,069;-0,221;-0,533;5,903;33,891;-1,596;0,329;-8,155
"faute";-9,71;-6,491;-1,882;34,607;3,874;-6,894;-2,595;-0,635;21,472;-0,028;0,482;-1,528;8,723;-2,731
"rappeler";-9,877;-9,762;-1,915;13,499;-0,015;-2,022;0,077;-0,706;-1,635;-1,661;-0,455;50,487;17,124;-1,061
"humanité";-1,887;-14,745;-1,85;-6,728;-2,141;0,564;-9,215;4,562;-0,007;-3,886;-2,528;0,051;6,408;72,384
"soutien";2,783;-14,941;-1,871;23,527;-2,166;-1,173;-9,428;-0,179;-6,412;-0,887;-10,219;-0,266;-3,773;147,272
"maison";-5,88;-7,829;-0,392;-1,42;0,361;18,098;36,75;-8,619;-6,412;0,852;2,264;-3,721;-4,848;0,221
"dur";-9,32;-7,303;-0,347;-6,528;1,866;0,007;-0,041;-3,199;-1,811;-4,704;138,756;-1,298;1,161;-0,288
"udc";-9,431;-1,918;-0,362;-6,628;108,71;-7,803;-15,993;664,996;-0,332;-10,775;-2,402;0,069;-0,665;-11,713
"chance";-4,243;-2,03;21,258;-2,315;-0,591;10,936;0,037;-1,24;-1,34;0,194;36,335;-2,404;-0,74;-8,939
"unir";0,034;-8,298;0,048;-1,934;-2,016;-10,106;-5,498;-2,946;-3,153;1,568;4,549;-0,472;-3,904;115,545
"tête";-9,766;-1,532;0,01;-0,749;-0,629;1,96;-1,303;-0,009;35,086;-1,559;-3,719;0,735;10,104;-3,64
"route";-9,208;-10,344;-1,785;0;-2,066;-7,417;764,267;-3,115;-14,161;-5,789;-11,157;-3,364;-9,702;-18,519
"marcher";-7,431;-6,075;-1,828;10,101;0,412;-1,564;-0,567;-0,129;211,325;-4,859;-1,044;-8,726;-5,714;-2,354
"lausanne";-7,266;-1,107;-1,796;2,088;-0,001;-9,003;254,323;-0,097;-0,056;0,001;-2,217;-6,59;-8,213;-16,656
"emji_visage_souriant_avec_coeurs";575,322;-1,366;-0,987;-4,65;-1,143;-0,002;-3,801;0,111;-5,149;-6,973;-0,861;-2,842;-4,152;-12,645
"contraire";-9,487;-14,647;-1,839;2,951;-0,004;0;-7,667;-3,327;-0,004;0,539;-0,608;-1,395;131,335;-0,726
"voler";-6,991;-8,298;-1,742;-0,428;-2,016;-1,149;0,961;-0,946;-0,155;-0,163;3,467;0,604;-0,132;26,925
"souhaiter";-0,912;-8,753;-0,34;-6,478;-0,543;1,986;-4,801;-3,157;-0,056;0,323;0,142;0,1;68,135;-0,971
"plaindre";-7,486;-4,894;0,791;12,322;-2,129;0,606;-5,158;0;25,526;-0,005;-0,608;-2,364;17,086;-10,275
"image";-9,153;-14,058;-1,774;0,155;-0,524;-3,698;-5,78;-0,419;44,342;-0,04;-9,346;42,51;2,042;2,895
"valeur";-7,321;-12,369;-1,807;-1,228;-2,091;-5,024;-7,364;1,285;-3,568;0;2;114,978;25,372;-0,599
"truc";-9,041;-13,862;-0,311;0,004;-0,505;-1,843;-2,559;11,993;90,336;-2,336;18,143;0,154;-2,983;-10,833
"nom";-6,827;-6,523;-0,282;0,019;0,579;-1,006;-0,048;0,329;3,646;-0,793;-1,748;-1,019;0,275;25,824
"fou";-9,208;-7,129;-0,332;-0,124;-0,533;-0,412;-1,346;176,946;1,329;-1,086;-6,442;-3,364;1,286;0,224
"fonctionner";-9,264;-12,272;-0,34;-0,535;-0,543;-9,003;1,784;0,621;-0,61;32,892;16,883;0,459;3,61;-9,788
"but";-7,156;-10,25;-0,325;1,263;0;-1,963;-3,599;0,008;4,009;7,892;-2,097;-0,539;6,223;5,856
"main";-4,881;-13,079;-0,255;0,044;-1,929;-0,826;6,266;-0,012;0,115;-0,269;12,024;-0,901;0,829;0,325
"magnifique";808,408;-8,936;-0,354;-3,399;-0,002;-0,039;-0,531;-1,149;-7,395;-4,782;-4,243;-6,692;-8,403;-11,587
"juif";-8,262;-14,612;-1,602;-7,541;-1,854;-16,47;-17,728;-7,376;-8,753;-14,662;-15,395;-7,644;-11,534;1008,979
"différence";-9,208;-16,286;6,062;0;-0,001;2,072;0,742;-3,115;-8,666;0,002;17,19;74,865;-2,315;-2,81
"offrir";-6,772;-11,404;0,064;-0,349;-0,459;-5,35;0,711;-0,835;-3,913;17,334;98,695;-0,064;-0,654;-7,321
"minimum";-8,986;-11,789;-1,742;-0,082;62,194;-3,468;-4,364;-4,362;-0,449;137,916;3,467;-0,103;-0,132;-7,778
"user";-7,211;-12,176;2,899;-0,513;-0,533;-2,832;-10,123;2,379;-0,236;21,956;15,045;-1,234;-3,194;14,569
"réel";-6,882;-5,256;-1,72;-0,064;-1,991;-1,667;-0,061;-0,324;-2,129;0,039;-5,917;369,88;-0,002;-7,549
"propos";-9,153;-12,079;-1,774;-3,224;-0,524;0,181;-15,404;1,43;9,597;-14,113;-9,346;110,453;57,085;-0,872
"massacre";-6,26;-8,98;-1,213;-3,801;-1,405;-10,352;-11,283;-3,683;-8,983;-9,016;-9,558;-3,876;-1,422;581,687
"cours";-9,097;-11,983;-1,763;-1,105;8,067;4,095;-1,24;-1,88;0,434;6,594;-4,992;22,453;3,973;-0,182
"commettre";-9,097;-13,96;-1,763;0,002;-2,041;0,205;-9,904;-4,454;-5,585;-14,014;-12,811;-2,091;-13,086;523,492
"mesure";-8,93;-13,667;-1,731;2,49;-0,486;0;1,605;-0,918;-6,699;0,203;4,686;0,635;44,516;-5,213
"bref";-9,097;-10,156;-0,318;-0,102;0;-0,353;-0,123;17,427;28,407;0,139;0,525;-0,516;-0,46;-1,318
"blanc";-8,373;-4,538;-0,228;0,446;0,013;0,304;-0,632;5,171;9,133;-7,35;-11,488;67,398;1,056;-1,701
"autoriser";-8,819;-11,5;-1,709;1713,771;-1,979;-8,201;-5,22;-7,873;-11,505;-2,981;-5,831;-6,185;-14,565;-8,825
"tomber";-3,656;-4,058;-0,289;-0,064;-1,991;-0,053;-0,061;4,206;3,53;-0,833;0,084;0,007;12,059;-1,659
"remettre";-8,874;-13,569;0,056;-0,987;-1,991;5,85;0,277;-1,736;-0,12;-5,298;4,826;-1,938;69,576;-3,149
"fait";-8,596;-15,203;0,079;0,044;-1,929;-2,947;-6,074;-0,012;-0,051;-7,711;-1,527;495,014;0,829;-4,614
"milliard";-8,151;-6,949;-0,202;-5,48;-1,829;-16,248;21,873;-7,277;-10,35;5,208;312,975;-3,912;-15,444;-7,409
"coût";-8,819;-11,5;-1,709;-4,383;-1,979;-4,27;-1,568;-5,907;-13,475;727,727;1,292;-6,185;-14,565;-19,667
"corps";-7,872;-8,098;-1,526;-1,227;0,04;80,546;0,65;-2,13;-11,812;-1,176;-10,576;-0,125;0,197;16,796
"caisse";-8,317;-10,634;-1,612;-7,592;-0,387;-14,428;-1,693;-5,469;-12,594;866,46;0,316;-7,696;-13,62;-20,647
"prison";-8,54;-6,095;-1,655;4,486;-1,916;-2,031;-0,758;-0,008;0,869;-4,815;-13,776;0,889;-0,981;110,653
"preuve";-8,484;-6,01;-1,645;1,013;-0,414;-4,91;-7,225;1,155;-0,031;-2,585;-9,865;38,893;96,41;-0,372
"vendre";-8,596;-11,115;-1,666;-4,195;0,006;-7,804;129,794;-0,755;-7,669;3,024;14,019;-5,983;-5,698;0,105
"tenir";-8,707;-5,015;-1,688;0,3;0,003;1,401;-6,269;0,375;-0,075;-3,873;-4,426;-0,959;47,054;10,295
"produire";-8,707;-9,498;1,09;-4,289;0,614;-9,587;288,341;-2,738;-7,85;0,309;0,137;-0,959;-1,12;-11,705
"pro";-8,262;-7,127;-0,215;0,503;-1,854;-8,762;-9,884;0,6;-1,511;-2,33;-6,315;-2,624;-2,94;285,419
"meme";-4,516;-12,394;1,327;-2,5;0,02;-2,45;-0,972;2,476;84,68;-0,123;2,156;-5,629;-0,083;-0,519
"totalement";-8,651;-13,177;-0,262;-0,312;-1,941;-2,159;4,871;-2,697;-7,759;-1,922;0,9;7,647;115,393;-4,713
"physique";-8,429;-12,785;-1,634;-7,693;-0,405;0,631;122,325;-7,525;-9,034;-2,521;-13,57;79,566;16,405;-16,606
"libre";-4,881;-13,079;-0,255;-0,027;-1,929;0,499;-2,823;0,074;4,14;-0,056;-0,466;7,797;15,468;-0,029
"ami";-3,224;-8,936;-1,623;-7,643;5,458;91,234;-0,07;-1,424;-0,972;-0,019;0,286;-0,259;-2,184;-0,092
